ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
META,2025-06-10,2025-06-15,699.1687,668.8135,-0.043416,0.8787,False
MSFT,2025-06-17,2025-06-22,472.6543,470.0196,-0.005574,0.6846,False
AAPL,2025-06-18,2025-06-23,195.3456,202.0551,0.034347,0.8812,False
JPM,2025-06-19,2025-06-24,270.313,263.0345,-0.026926,0.8875,False
MSFT,2025-06-24,2025-06-29,486.126,472.2168,-0.028612,0.779,False
GOOGL,2025-06-24,2025-06-29,166.5446,174.2772,0.046429,0.7487,False
JPM,2025-06-26,2025-07-01,279.2688,264.3784,-0.05,0.8944,True
META,2025-06-27,2025-07-02,724.8178,694.1398,-0.042325,0.8495,False
AMZN,2025-06-28,2025-07-03,223.52,209.69,-0.05,0.6895,True
AAPL,2025-07-01,2025-07-06,206.043,200.8887,-0.025016,0.7024,False
MSFT,2025-07-01,2025-07-06,493.6026,483.1931,-0.021089,0.7672,False
JPM,2025-07-03,2025-07-08,287.9573,278.641,-0.032353,0.7071,False
AMZN,2025-07-08,2025-07-13,223.92,223.3,-0.002769,0.8073,False
